reads.in,reads.out
97004,79800
164634,127518
190275,151449
73465,55036
77943,63294
68996,54795
122538,103092
228110,187381
69351,52667
74998,62868
118673,95681
77546,62913
246169,200866
81176,70133
214849,175680
110608,90976
80826,65767
78437,64253
102847,78096
74401,61324
78818,63013
149882,116866
87784,71026
133400,111451
76814,62618
78586,60449
73072,60569
257403,209240
264287,221843
278996,222109
109950,90619
156490,118727
221675,173751
79660,60023
86513,72808
79532,60088
61276,51620
64629,45308
140047,111977
93088,69214
87131,64229
91777,77294
277359,230935
289453,231212
65758,54980
80998,61926
87289,72304
70404,56537
202491,167562
86413,64456
73995,60789
77831,59267
88103,70706
75783,61954
66534,50648
89388,67836
80472,67350
64219,50171
110087,89401
75993,62588
78044,63499
129744,108394
65985,50018
73240,60877
310039,217533
302277,205475
140630,97773
166905,98477
19961,13051
369544,238518
234474,171323
46323,364
198097,70555
330729,237148
77375,66623
114835,99159
137069,117647
98901,82964
174574,153963
70083,60011
81276,71829
70012,62003
69487,58038
74883,63566
176663,147883
161577,143508
136700,115578
178538,160841
180042,161769
118156,105661
153243,137733
240458,217390
118117,106567
77613,64250
215568,188931
256925,229661
191425,173825
218455,193421
90199,78760
189999,168287
98738,86461
105860,94324
144767,130969
60534,52084
214321,196172
61862,55456
195907,176895
176267,155863
178597,139195
242537,214651
63049,56624
171050,156244
187837,175282
89283,79806
197116,160738
61010,53584
149869,135675
96614,85291
137135,121703
90013,80295
163561,147900
96727,50747
99388,90540
98255,87677
250948,227066
144202,124522
276932,256880
282393,243892
151646,137668
118777,81578
67058,57065
123044,111269
103647,92443
217302,188940
135260,120093
118767,108571
106516,92522
176502,154947
117399,103725
162645,143653
132409,114105
182210,157498
151161,133400
150401,136548
146446,129668
141246,123338
161708,144086
194645,178386
152281,134768
145875,124409
86899,78800
177127,161039
185356,160716
75857,65796
123947,110107
184006,165483
178194,160420
135014,120819
154525,137505
137306,123929
130843,116797
192458,171091
143755,126078
162577,142289
155104,129585
144164,122865
141783,126868
120842,107222
152324,128593
125943,111365
143388,120023
153169,137916
132033,110028
172826,146029
184120,166556
144963,124805
159675,137665
101832,90285
110935,99629
184261,164653
147835,133432
154375,134697
155441,137989
135651,116996
166906,141936
176763,160392
158382,138006
149176,130552
148639,131718
167873,148597
145133,126925
160515,141198
91914,76225
148139,130102
157314,131004
155588,127585
65457,37035
165697,145132
148976,129837
108240,94818
139595,124736
139381,122919
147819,129877
170176,153922
114318,92835
127372,112720
178101,159567
161341,143678
118666,100197
114932,98844
126144,108380
152682,133484
121514,105319
170503,144168
131810,118166
135029,120457
177572,155389
129480,114794
147865,133991
132385,111980
123954,109989
153218,127825
162847,140159
142619,126386
173740,154827
187235,137886
144970,103757
159546,110089
145886,106612
95555,69070
209330,150181
223685,164902
154336,110432
135218,97719
163746,117008
152522,107971
192297,138285
191522,137059
198958,142964
156832,113186
164287,119559
171606,120847
157686,112375
190985,140409
141989,105186
127257,90243
163996,120106
177017,129860
220029,161537
107674,74245
155548,110755
138597,99788
239935,172307
138850,98898
163079,119243
236014,172413
156737,112256
124004,90161
163761,118439
192805,137770
176619,126057
217507,156320
186907,136750
149268,109308
147822,105049
156937,112419
182641,126340
136974,100668
167746,120743
238434,175836
179577,127689
108203,77919
152561,107807
172782,121820
150588,108966
175219,126841
150603,111540
152968,109041
144245,99446
136251,97729
130825,92343
145804,105994
159169,111425
170539,118787
144610,103687
152350,105283
121791,89635
149101,107793
128723,89840
147693,104753
154865,111190
171553,124309
185576,134033
124724,86469
145418,106498
141489,103303
156763,108974
153085,109304
114087,79794
198411,144279
111264,80026
106225,76536
157425,112952
102353,74691
117019,84295
124643,89318
175643,124518
178780,131360
118713,88115
299658,215315
163043,116055
153899,112588
167195,119410
178753,128453
192592,137653
241977,175120
163172,115880
162095,110351
126867,94987
166936,121693
176845,126021
261233,219353
211640,171610
255337,214108
237463,203536
174495,154325
238707,194065
234682,203549
189984,154796
235640,185937
166231,135678
173698,128161
239395,195223
164904,143828
187534,161012
228350,199669
281509,239077
326354,262040
204240,173750
177852,143507
224372,186508
175971,149060
233140,199741
272036,231882
208312,180106
233848,203456
227427,195709
237512,196873
265703,229149
206510,178494
263252,224887
253955,219548
242205,206270
245725,211602
216097,186614
264238,224130
237515,202530
203039,171681
284773,243782
176445,152082
195366,168450
215592,184938
229325,193568
210521,178370
184415,154832
247711,218032
201778,164014
244738,209643
246690,205939
192107,167134
295271,251188
79190,45731
207583,177245
275529,224887
283247,240025
231591,202827
234086,199013
211059,137876
266836,227333
221154,174692
238569,207691
126261,103181
136487,116418
197843,165999
199323,170210
195690,172541
200875,171881
209410,181586
193402,155196
265604,144368
253167,174343
295530,202831
91057,45650
274585,187261
251436,171703
294801,188184
242706,170133
166720,116107
278257,193532
185860,135154
124781,68735
229387,151472
253923,147230
176555,125574
198076,134250
199684,145747
204133,141193
213447,149136
176067,127872
248371,186531
323873,227357
157464,109861
275581,189217
304218,199186
281180,202036
225869,164595
264077,185970
141134,97086
257289,147538
333116,221882
245496,178712
277529,200686
147767,102272
249061,170938
53798,14909
317481,223850
170377,126593
340599,239993
166078,115921
155057,112544
299397,218258
181365,122633
223680,162443
287382,191798
263467,173279
358905,236190
385909,253563
327354,233100
209192,133111
323049,193082
321462,235806
243182,175000
225331,157449
301652,214672
223581,160068
206167,147906
176760,121427
161420,102598
206362,150921
272962,192384
106600,58906
83221,44892
356043,258264
319107,197317
192172,126822
